Mean_Intensity,Std_Intensity,Entropy
0.29459515,0.19973317,546.5844
0.2928645,0.1987226,543.86523
0.30297968,0.2048788,559.7541
0.29448438,0.20176846,545.9984
0.29563412,0.20013398,548.2753
0.29320517,0.1992763,544.35693
0.2946247,0.19905375,546.7801
0.54006636,0.17533965,935.84705
0.5382901,0.17523915,933.2377
0.57078683,0.17524713,980.90015
0.31061602,0.23419929,567.8956
0.3011669,0.22504006,553.44196
0.3001406,0.23028454,550.53564
0.38402066,0.25022122,686.14386
0.2976428,0.23230617,545.87524
0.3822004,0.2437008,684.21436
0.38877308,0.23726855,695.85504
0.3971509,0.23910776,709.2582
0.30961844,0.23460011,566.11273
0.31140622,0.22609748,570.7938
0.44463158,0.22424339,782.77814
0.44604507,0.2267263,784.4302
0.44564632,0.22388661,784.40234
0.43470117,0.23496386,765.2606
0.4431684,0.2272249,779.8861
0.43897817,0.23690279,771.26215
0.45128298,0.22708637,792.48535
0.44766006,0.22620587,787.0227
0.44463804,0.22416407,782.8118
0.44373158,0.22484724,781.2433
0.4908712,0.18787391,860.29724
0.49121234,0.19565521,859.3594
0.48402077,0.19244911,848.9579
0.40249217,0.1749395,724.7857
0.48624572,0.18248418,853.9257
0.495437,0.18695596,867.2908
0.48804432,0.18478584,856.43
0.4920626,0.18383488,862.7283
0.43763414,0.23195662,772.0643
0.4334259,0.24027462,763.89215
0.42969182,0.24039657,758.02216
0.43814215,0.23735282,771.8108
0.4454966,0.2408479,782.6061
0.4306209,0.2381712,759.8456
0.42698655,0.24073884,753.5873
0.42676806,0.24238077,752.83154
0.4366151,0.23874424,769.15564
0.44122145,0.23237506,777.60474
0.47591245,0.2233931,834.13544
0.48407277,0.22848015,845.80634
0.48033622,0.2239607,840.807
0.47939342,0.23679137,837.3782
0.47792903,0.22371176,837.19366
0.48657578,0.23881972,848.0105
0.48206988,0.22901991,842.7106
0.48014387,0.22421513,840.48175
0.47729412,0.22495332,835.9993
0.47576332,0.22369735,833.85486
0.48322368,0.23343855,844.1461
0.47996053,0.22913396,839.822
0.4806854,0.23221742,840.41077
0.4889419,0.22983839,853.32227
0.4906653,0.2318816,855.58484
0.48231354,0.22555678,843.7693
0.4916126,0.23091337,857.1639
0.48491076,0.22769967,847.3318
0.49013448,0.22996292,855.2757
0.47958225,0.23109958,838.9871
0.40214756,0.23475164,715.1468
0.40973055,0.23591796,726.9387
0.4020426,0.23352055,715.4154
0.40902275,0.23473817,726.0607
0.41110012,0.24478987,727.5489
0.39681897,0.22880128,707.9628
0.407717,0.2352519,723.88654
0.4086902,0.23508163,725.5071
0.39659795,0.2300982,707.3466
0.40367544,0.23330067,717.92944
0.46092868,0.22717303,811.4087
0.4702479,0.2309349,825.1184
0.4687747,0.22920997,823.1011
0.4642714,0.22565874,816.63745
0.4609875,0.2204202,812.3318
0.47037977,0.2338105,824.84973
0.47623193,0.2400931,832.77496
0.47059616,0.228502,825.9067
0.46582103,0.23751238,817.35547
0.47467893,0.25150692,828.6065
0.4126852,0.19382897,740.0683
0.41813508,0.19819826,748.0225
0.41743279,0.1992457,746.7488
0.42149273,0.20589551,752.1599
0.4177947,0.1986417,747.4014
0.4234099,0.20530331,755.24335
0.4157228,0.19936994,744.0689
0.41739044,0.19930449,746.6941
0.41953418,0.19976678,749.97437
0.41790363,0.19922727,747.4967
0.44095203,0.20419586,782.2542
0.4343948,0.20205753,772.4185
0.4365615,0.20279464,775.6894
0.437521,0.20388652,776.968
0.44263628,0.20766738,784.33276
0.44049945,0.20584963,781.2784
0.44131,0.2032746,782.93365
0.4416681,0.20462026,783.26154
0.44105634,0.20303948,782.574
0.43931696,0.20321564,779.84265
0.42466414,0.21862194,754.4544
0.42395023,0.21903236,753.25287
0.42459044,0.21868001,754.3314
0.41707635,0.21434064,743.3581
0.4243556,0.2193511,753.8178
0.42484182,0.21929643,754.5904
0.4172916,0.21337752,743.86835
0.40800834,0.20863898,730.08624
0.42568165,0.21814834,756.1153
0.4247289,0.2183736,754.60535
0.38193715,0.2811634,677.8248
0.43781295,0.32106072,758.49677
0.38562658,0.28348556,683.31195
0.38007212,0.276736,675.59595
0.3554817,0.28231514,634.2785
0.37947094,0.27832893,674.307
0.38028935,0.27810308,675.72266
0.39122304,0.28960055,691.0462
0.38583478,0.28473735,683.362
0.3819655,0.2812668,677.83594
0.42843103,0.1871654,764.7187
0.43964136,0.18796812,782.0467
0.44229293,0.18650565,786.3303
0.4291901,0.18798181,765.60474
0.43796995,0.18888968,779.3184
0.42262703,0.18722281,755.4755
0.4217778,0.18683815,754.1909
0.42061314,0.18992992,752.0822
0.42007375,0.1901265,751.2463
0.4221326,0.18855694,754.7328
0.45035422,0.2534605,790.475
0.4497157,0.25439057,789.2934
0.45066106,0.25132093,791.1978
0.44799042,0.25199944,787.0216
0.45108533,0.25406983,791.345
0.4482498,0.25278267,787.2639
0.44766527,0.25239855,786.4497
0.44524997,0.24971834,783.23944
0.44333965,0.24808502,780.5546
0.44854912,0.25329003,787.718
0.3197151,0.24448667,580.66724
0.32640535,0.24797955,590.87994
0.3160165,0.24130848,575.1444
0.33021647,0.2494475,596.979
0.31595054,0.24230169,574.82385
0.32880694,0.24882041,594.7182
0.33054996,0.24920839,597.54645
0.32742816,0.24825086,592.5061
0.32838124,0.24828717,594.10077
0.3173242,0.24274296,576.99884
0.41220576,0.19652016,737.2345
0.41197762,0.2025403,736.0328
0.41431165,0.19870079,740.242
